"Name","SizeGB","Path"
"docker","3.55","D:\OneDrive\Dev\docker"
"drivers","2.35","D:\OneDrive\Dev\drivers"
"dotnet","2.24","D:\OneDrive\Dev\dotnet"
"GaymerPC","2.15","D:\OneDrive\Dev\GaymerPC"
"apps","1.35","D:\OneDrive\Dev\apps"
"PSModules","0.97","D:\OneDrive\Dev\PSModules"
"OwnershipToolkit","0.97","D:\OneDrive\Dev\OwnershipToolkit"
"Installers","0.7","D:\OneDrive\Dev\Installers"
"OwnershipToolkit1","0.61","D:\OneDrive\Dev\OwnershipToolkit1"
".codeium","0.52","D:\OneDrive\Dev\.codeium"
"DotFolders","0.43","D:\OneDrive\Dev\DotFolders"
"PowerShell-main","0.39","D:\OneDrive\Dev\PowerShell-main"
"Python314","0.38","D:\OneDrive\Dev\Python314"
".git","0.37","D:\OneDrive\Dev\.git"
"Legacy-Libraries","0.25","D:\OneDrive\Dev\Legacy-Libraries"
".mypy_cache","0.17","D:\OneDrive\Dev\.mypy_cache"
"PowerShell","0.16","D:\OneDrive\Dev\PowerShell"
"CMake","0.12","D:\OneDrive\Dev\CMake"
"Visual-C-Runtimes-All-in-One-Jul-2025 (1)","0.09","D:\OneDrive\Dev\Visual-C-Runtimes-All-in-One-Jul-2025 (1)"
"Visual-C-Runtimes-All-in-One-Jul-2025","0.09","D:\OneDrive\Dev\Visual-C-Runtimes-All-in-One-Jul-2025"
".venv","0.07","D:\OneDrive\Dev\.venv"
".vs","0.05","D:\OneDrive\Dev\.vs"
"Neovim","0.03","D:\OneDrive\Dev\Neovim"
"DupFilesSearchAndLink","0.02","D:\OneDrive\Dev\DupFilesSearchAndLink"
"DupFilesSearchAndLink_(10_7_1)","0.02","D:\OneDrive\Dev\DupFilesSearchAndLink_(10_7_1)"
"Modules","0.01","D:\OneDrive\Dev\Modules"
"Microsoft Copilot Chat Files","0.01","D:\OneDrive\Dev\Microsoft Copilot Chat Files"
"Core","0.01","D:\OneDrive\Dev\Core"
"GaymerPC1","0.01","D:\OneDrive\Dev\GaymerPC1"
"ref","0.01","D:\OneDrive\Dev\ref"
"preview","0","D:\OneDrive\Dev\preview"
"MSBuild","0","D:\OneDrive\Dev\MSBuild"
"System-Backup","0","D:\OneDrive\Dev\System-Backup"
"System-Performance-Suite","0","D:\OneDrive\Dev\System-Performance-Suite"
"Tests","0","D:\OneDrive\Dev\Tests"
"TUI","0","D:\OneDrive\Dev\TUI"
"Visual Studio 2022","0","D:\OneDrive\Dev\Visual Studio 2022"
"Libraries","0","D:\OneDrive\Dev\Libraries"
"VR-AR-Studio","0","D:\OneDrive\Dev\VR-AR-Studio"
"windick-main","0","D:\OneDrive\Dev\windick-main"
"Kit","0","D:\OneDrive\Dev\Kit"
"Windows Imaging and Configuration Designer (WICD)","0","D:\OneDrive\Dev\Windows Imaging and Configuration Designer (WICD)"
"GUI","0","D:\OneDrive\Dev\GUI"
"Windows-Deployment-Suite","0","D:\OneDrive\Dev\Windows-Deployment-Suite"
"Multimedia-Suite","0","D:\OneDrive\Dev\Multimedia-Suite"
"Specialized-Suites","0","D:\OneDrive\Dev\Specialized-Suites"
"Setup","0","D:\OneDrive\Dev\Setup"
"Network-Suite","0","D:\OneDrive\Dev\Network-Suite"
"node_modules","0","D:\OneDrive\Dev\node_modules"
"NoMewing","0","D:\OneDrive\Dev\NoMewing"
"nvm4w","0","D:\OneDrive\Dev\nvm4w"
"Security-Suite","0","D:\OneDrive\Dev\Security-Suite"
"scripts","0","D:\OneDrive\Dev\scripts"
"Schemas","0","D:\OneDrive\Dev\Schemas"
"PackageManagement","0","D:\OneDrive\Dev\PackageManagement"
"Resources","0","D:\OneDrive\Dev\Resources"
"PortableAppsBackup","0","D:\OneDrive\Dev\PortableAppsBackup"
"PowerShell-Help","0","D:\OneDrive\Dev\PowerShell-Help"
"PythonPackages","0","D:\OneDrive\Dev\PythonPackages"
"grafana","0","D:\OneDrive\Dev\grafana"
"PowerToys","0","D:\OneDrive\Dev\PowerToys"
"Projects","0","D:\OneDrive\Dev\Projects"
"PowerShellProfile","0","D:\OneDrive\Dev\PowerShellProfile"
"__pycache__","0","D:\OneDrive\Dev\__pycache__"
"GaymerPC-main","0","D:\OneDrive\Dev\GaymerPC-main"
"Automation-Suite","0","D:\OneDrive\Dev\Automation-Suite"
"Auto-Suite","0","D:\OneDrive\Dev\Auto-Suite"
"aurora","0","D:\OneDrive\Dev\aurora"
"assets","0","D:\OneDrive\Dev\assets"
"Archive","0","D:\OneDrive\Dev\Archive"
"AppInstallerPro","0","D:\OneDrive\Dev\AppInstallerPro"
"AppInstaller","0","D:\OneDrive\Dev\AppInstaller"
"API","0","D:\OneDrive\Dev\API"
"Analytics-Suite","0","D:\OneDrive\Dev\Analytics-Suite"
"AI-Command-Center","0","D:\OneDrive\Dev\AI-Command-Center"
".windsurf","0","D:\OneDrive\Dev\.windsurf"
".vscode","0","D:\OneDrive\Dev\.vscode"
".quarantine_20251120-191309","0","D:\OneDrive\Dev\.quarantine_20251120-191309"
".pytest_cache","0","D:\OneDrive\Dev\.pytest_cache"
".husky","0","D:\OneDrive\Dev\.husky"
".github","0","D:\OneDrive\Dev\.github"
".dotnet","0","D:\OneDrive\Dev\.dotnet"
".cursor","0","D:\OneDrive\Dev\.cursor"
".cleanup_reports","0","D:\OneDrive\Dev\.cleanup_reports"
".claude","0","D:\OneDrive\Dev\.claude"
"_Archive-GaymerPC","0","D:\OneDrive\Dev\_Archive-GaymerPC"
"Benchmark-Suite","0","D:\OneDrive\Dev\Benchmark-Suite"
"GitHub","0","D:\OneDrive\Dev\GitHub"
"Blockchain-Suite","0","D:\OneDrive\Dev\Blockchain-Suite"
"C-Man","0","D:\OneDrive\Dev\C-Man"
"Gaming-Suite","0","D:\OneDrive\Dev\Gaming-Suite"
"en-US","0","D:\OneDrive\Dev\en-US"
"EdgeDownloads","0","D:\OneDrive\Dev\EdgeDownloads"
"Windows-Image-Workshop","0","D:\OneDrive\Dev\Windows-Image-Workshop"
"DropBox","0","D:\OneDrive\Dev\DropBox"
"Driver-Management-Suite","0","D:\OneDrive\Dev\Driver-Management-Suite"
"DotNetLibraries","0","D:\OneDrive\Dev\DotNetLibraries"
"Documentation","0","D:\OneDrive\Dev\Documentation"
"docs","0","D:\OneDrive\Dev\docs"
"DevEnv","0","D:\OneDrive\Dev\DevEnv"
"Development-Suite","0","D:\OneDrive\Dev\Development-Suite"
"Dev-GaYmR-PC","0","D:\OneDrive\Dev\Dev-GaYmR-PC"
"DeployForge","0","D:\OneDrive\Dev\DeployForge"
"Data-Management-Suite","0","D:\OneDrive\Dev\Data-Management-Suite"
"cs","0","D:\OneDrive\Dev\cs"
"Content-Creator-Suite","0","D:\OneDrive\Dev\Content-Creator-Suite"
"Community-Suite","0","D:\OneDrive\Dev\Community-Suite"
"Cloud-Integration-Suite","0","D:\OneDrive\Dev\Cloud-Integration-Suite"
"Cloud-Integration","0","D:\OneDrive\Dev\Cloud-Integration"
"Cloud-Hub","0","D:\OneDrive\Dev\Cloud-Hub"
"ChatGPT-Code","0","D:\OneDrive\Dev\ChatGPT-Code"
"bootstrapper","0","D:\OneDrive\Dev\bootstrapper"
"WindowsPowerShell","0","D:\OneDrive\Dev\WindowsPowerShell"
